Category,Sub Category,Product,Price,Stars_and_Count,,,,
Baby,Toys & Games,"2 Packs Baby Teething Toy for 0-6 6-12 Months, Food Grade Silicone Teething Mitten, Anti Dropping Wrist Hand Teethers Baby Chew Toys for Sucking Needs, BPA Free (Green & Caramel)",$9.99 ,"4.8 out of 5 stars 3,655  ",,,,
Industrial & Scientific,Video Games,"2 PCS Digital Optical Audio Cable 6ft1.8M - [24K Gold-Plated, Ultra-Durable] Slim Optical Cable Digital Audio Cable for Home Theater, Sound Bar, TV, PS4, Xbox, PlayStation & More",$5.49 ,"4.6 out of 5 stars 2,418  ",,,,
Home & Kitchen,,"2 Set Fabric Tube Maker for Fabric Roll Rugs, Sewing Tube Makers for Rug, Bias Tape Maker Suitable for DIY, Making Roll Rugs Easier 676226, Patented Design (Blue)",$12.99 ,4.5 out of 5 stars 11  ,,,,
Baby,Tools & Home Improvement,"20 Pack Corner Protector Baby, Table Corner Protectors for Baby Guards Clear for Furniture Corner Protectors Proof Covers Baby Safety",$7.99 ,"4.5 out of 5 stars 1,375  ",,,,
Baby,Tools & Home Improvement,20 Pack Magnetic Cabinet Locks Baby Proofing - Vmaisi Children Proof Cupboard Drawers Latches - Adhesive Easy Installation,$39.99 ,"4.6 out of 5 stars 17,202  ",,,,
Home & Kitchen,,"20 Piece Silverware Set Service for 4,Premium Stainless Steel Flatware Set,Mirror Polished Cutlery Utensil Set,Durable Home Kitchen Eating Tableware Set,Include Fork Knife Spoon Set,Dishwasher Safe",$12.99 ,"4.6 out of 5 stars 4,265  ",,,,
Industrial & Scientific,"Clothing, Shoes & Jewelry","200 Pack Small Plastic Bags For Jewelry, Mini Baggies 4 Assorted Sizes. 2x3 3x3 3x5 4x6 Inch 2 Mil Thick Poly Zipper Lock Bags Clear for Jewelry, Bead, Toy Piece, Pill, Snack Storage. PP Resealable",$5.99 ,"4.7 out of 5 stars 4,690  ",,,,
Pet Supplies,Sports & Outdoors,"2025 Upgraded Sheep Shears 500W, Professional Electric Sheep Clippers, Farm Livestock Grooming Kit, 6 Speed Heavy Duty Electric Shears for Sheep Alpacas Goats Thick Coat Animals",$74.99 ,"4.3 out of 5 stars 1,157  ",,,,
Industrial & Scientific,Cell Phones & Accessories,"20W USB C Fast Charger 10 FT Compatible with iPhone 14 13 12 11 XS XR X 8 iPad, 2 Pack PD Wall Charger Block with 10FT Long Type C Lightning Cable (White)",$7.99 ,"4.2 out of 5 stars 7,949  ",,,,
Industrial & Scientific,Electronics,"20W USB C Fast Charger 10 FT Compatible with iPhone 14 13 12 11 XS XR X 8 iPad, 2 Pack PD Wall Charger Block with 10FT Long Type C Lightning Cable (White)",$7.99 ,"4.2 out of 5 stars 7,949  ",,,,
Health & Household,Toys & Games,"24 Pieces Beach Theme Reusable Shape Straws, Drink Straws Beach Ball Pool Summer Birthday Party Favor Decorations with 2 Cleaning Brushes 8 Color Straws",$13.99 ,4.8 out of 5 stars 99  ,,,,
Industrial & Scientific,Toys & Games,"24 Pieces Beach Theme Reusable Shape Straws, Drink Straws Beach Ball Pool Summer Birthday Party Favor Decorations with 2 Cleaning Brushes 8 Color Straws",$13.99 ,4.8 out of 5 stars 99  ,,,,
Baby,Sports & Outdoors,24 Pieces Bouncy Balls 32mm Bounce Balls 6 Styles High Bouncing Balls Toys for Kids Party Favors Birthdays Gift Classroom,$9.48 ,4.7 out of 5 stars 481  ,,,,
Industrial & Scientific,"Patio, Lawn & Garden","240FT Drip Irrigation System,Automatic Drip Irrigation Kit with 1/2 inch Hose 1/4 inch Distribution Tubing and Accessories,for Lawn Raised Bed Greenhouse Plant Watering System",$44.99 ,4.8 out of 5 stars 224  ,,,,
Home & Kitchen,,"24-Piece Black Silverware Set with Steak Knives, Black Flatware Set for 4, Food-Grade Stainless Steel Tableware Cutlery Set, Mirror Finished Utensil Sets for Home Restaurant",$19.99 ,"4.6 out of 5 stars 7,002  ",,,,
Industrial & Scientific,"Arts, Crafts & Sewing","25pcs Party Favors Bags,Birthday Goodie Candy Bags,Goodie Bags for Kids Birthday Party,Loot Bags for Kids Birthday Party with Star Pattern,5 Colors",$4.99 ,"4.7 out of 5 stars 1,253  ",,,,
Baby,Industrial & Scientific,"2-in-1 Bottle Brush with Straw Brush, Long Handle Water Bottle Scrubbing Brush, Built for Cleaning Sport Bottles, Baby Bottles, Water Bottles, Coffee Mugs, Wine Decanters, Flask, 1 Pack",$9.95 ,"4.7 out of 5 stars 2,707  ",,,,
Pet Supplies,Grocery & Gourmet Food,2-in-1 Interactive Dog Slow Feeder Puzzle Toy Durable Duck Shaped Design for Small Medium Dogs Promotes IQ Training Reduces Bloating Anti Gulping Fun Mealtime Feeding Solution,$19.99 ,3.7 out of 5 stars 41  ,,,,
Industrial & Scientific,Musical Instruments,"2-Pack 3.5mm Microphone Cable Compatible with DJI Mic 2 & Rode Microphone Wireless Pro, Coiled Dual 3.5mm TRS Patch Cable Audio Mic Cord for Cameras",$9.99 ,4.8 out of 5 stars 35  ,,,,
Pet Supplies,Industrial & Scientific,"2-Pack Aquarium Thermometer, Fish Tank Thermometer, AikTryee Water Thermometer with 3.3ft Cord Fahrenheit/Celsius(‚Ñ?‚Ñ? for Vehicle Reptile Terrarium Fish Tank Refrigerator.",$7.95 ,"4.3 out of 5 stars 1,668  ",,,,
Industrial & Scientific,Office Products,"2-Pack Bubble Cushioning Nylon Wrap Rolls, 3/16"" x 12"" x 72' ft Total, Perforated Every 12"", 20 Fragile Stickers for Packaging, Shipping, Mailing",$14.99 ,"4.4 out of 5 stars 7,809  ",,,,
Industrial & Scientific,"Patio, Lawn & Garden","2-Pack Meat Thermometer Replacement for Pit Boss Pellet Grills and Smokers, 3.5 mm Plug Waterproof Probes with 2 Pack Probe Grommets",$9.99 ,4.5 out of 5 stars 272  ,,,,
Beauty & Personal Care,,"2PCS Relief Sun Organic sunscreen SPF50, Korean Skin Care Solution for All Skin Types, ++++PA++++ Rice and Probiotics, 50ml Nourishing Skin Protection and UV Defens",$24.99 ,3.9 out of 5 stars 50  ,,,,
Industrial & Scientific,Video Games,3 in 1 Wii Wired Motion Sensor Bar + AC Power Supply Adapter Cord + Composite Audio Video Cable Compatible with Nintendo Wii (Not for Wii U),$16.99 ,4.6 out of 5 stars 132  ,,,,
Girls' Fashion,,3 Pack kids Blue Light Blocking Glasses for girls boys Computer Blue Light Blocking Glasses For Age 3-9 (Light blue + Light purple + Light pink),$8.99 ,"4.6 out of 5 stars 1,654  ",,,,
Baby,Toys & Games,"3 Pack Ring Teether Baby Infant Toys, Silicone Teething Ring Toys for Babies 0-6 Months, Seposeve Baby Teethers 6-12 Months 12-24 Months, Easy to Grasp Toy, Baby Teething Relief, Purple Pink White",$5.99 ,4.7 out of 5 stars 546  ,,,,
Boys' Fashion,,3 Pack Toddler Boy Shorts Pants Set-Cartoon Printed Slant Pocket Athletic Shorts-Kid Shorts with Drawstring(3-7 T),$14.99 ,4.9 out of 5 stars 22  ,,,,
Women's Fashion,,3 Pairs Gold Hoop Earrings Set: Dainty Stud Earrings Trendy Small 14K Gold Plated Hypoallergenic Dangle Cartilage Huggie Hoop Earrings for Women Gold Jewelry for Women Gifts,$13.99 ,"4.5 out of 5 stars 2,118  ",,,,
Baby,"Clothing, Shoes & Jewelry",3 Pcs Baby Flower Headbands Baby Girls Nylon Headband Soft Hairbands Hair Accessories for Newborn Infant Toddler Kids (Beige Pink Khaki),$8.99 ,4.8 out of 5 stars 718  ,,,,
Baby,"Arts, Crafts & Sewing",30pcs 17mm Silicone Polygon Pearl Beads for Pen Silicone Geometric Icosahedron Shape Beads Hexagon Bulk Bead for Keychain DIY Mom Woman Lanyards Craft Jewelry Making,$13.98 ,4.4 out of 5 stars 53  ,,,,
